epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3556,1.16185,3.74644,1.24044,0.0215,0.16902,0.02044,0.01501,1.16572,4.0894,1.34165,8.33e-06,8.33e-06,8.33e-06
2,84.2618,1.15056,3.60059,1.23935,0.06406,0.66332,0.20759,0.15803,1.05507,3.42041,1.17674,2.47838e-05,2.47838e-05,2.47838e-05
3,125.968,1.04657,2.80371,1.11016,0.49216,0.50782,0.50961,0.40327,1.01993,2.30918,1.06025,4.09628e-05,4.09628e-05,4.09628e-05
4,167.41,1.12574,1.97799,1.13533,0.5526,0.63838,0.57188,0.44721,0.98884,2.09258,1.05356,5.68668e-05,5.68668e-05,5.68668e-05
5,208.4,1.14578,1.72814,1.18082,0.56944,0.70277,0.65335,0.51115,0.96862,2.23415,1.05968,7.2496e-05,7.2496e-05,7.2496e-05
6,249.719,0.95544,1.17809,1.01183,0.58887,0.74224,0.73104,0.54064,1.02365,2.27563,1.09976,8.78503e-05,8.78503e-05,8.78503e-05
7,289.94,1.06335,1.3272,1.07227,0.62909,0.82657,0.74278,0.54418,1.0502,1.93823,1.10861,0.00010293,0.00010293,0.00010293
8,332.704,0.96389,1.11768,1.1068,0.63558,0.8865,0.84356,0.62698,0.99192,1.49606,1.08305,0.000117734,0.000117734,0.000117734
9,374.737,0.94049,0.97562,0.978,0.66631,0.85631,0.90864,0.68719,0.9347,1.30233,1.05903,0.000132264,0.000132264,0.000132264
10,416.432,0.97217,0.87663,0.99426,0.87368,0.84953,0.93028,0.70084,0.93184,1.1062,1.04924,0.000146518,0.000146518,0.000146518
11,457.978,0.91135,0.858,1.02811,0.79348,0.92996,0.91829,0.67923,0.92435,1.09548,1.04094,0.000160498,0.000160498,0.000160498
12,498.823,0.93461,0.82736,0.97032,0.79348,0.92996,0.91829,0.67923,0.92435,1.09548,1.04094,0.000174203,0.000174203,0.000174203
13,539.561,0.95064,0.90592,1.08292,0.80434,0.84567,0.91064,0.6758,0.93507,1.14484,1.0501,0.000187633,0.000187633,0.000187633
14,579.087,0.95538,1.12551,1.14754,0.81252,0.83728,0.91496,0.67309,0.98488,1.14314,1.08313,0.000200788,0.000200788,0.000200788
15,618.19,0.85809,0.77833,1.04107,0.81252,0.83728,0.91496,0.67309,0.98488,1.14314,1.08313,0.000213669,0.000213669,0.000213669
16,657.316,0.8555,0.72442,0.95153,0.84717,0.85553,0.92983,0.67499,1.00095,1.0237,1.07944,0.000226274,0.000226274,0.000226274
17,696.632,1.00299,0.7516,1.04472,0.78351,0.88033,0.89187,0.63129,1.07611,1.13916,1.11633,0.000238605,0.000238605,0.000238605
18,735.315,0.88102,0.84315,1.06467,0.78351,0.88033,0.89187,0.63129,1.07611,1.13916,1.11633,0.00025066,0.00025066,0.00025066
19,774.336,0.90552,0.74492,0.97454,0.8486,0.92765,0.96049,0.68771,1.04342,1.01233,1.12811,0.000262441,0.000262441,0.000262441
20,813.016,0.90083,0.71159,1.00819,0.8486,0.92765,0.96049,0.68771,1.04342,1.01233,1.12811,0.000273947,0.000273947,0.000273947
21,852.334,0.86907,0.72973,0.9937,0.8001,0.94321,0.97092,0.69792,1.03612,1.14945,1.1518,0.000285178,0.000285178,0.000285178
22,890.937,0.98574,0.72778,1.05918,0.8001,0.94321,0.97092,0.69792,1.03612,1.14945,1.1518,0.000296134,0.000296134,0.000296134
23,930.139,0.81018,0.67108,1.00328,0.92953,0.92666,0.95511,0.70883,0.9909,0.88564,1.09259,0.000306815,0.000306815,0.000306815
24,968.6,1.00226,0.69062,0.98635,0.92953,0.92666,0.95511,0.70883,0.9909,0.88564,1.09259,0.000317221,0.000317221,0.000317221
25,1007.61,0.97929,0.83208,1.08117,0.91359,0.96063,0.9688,0.71398,1.00288,0.86446,1.11159,0.000327352,0.000327352,0.000327352
26,1046.31,0.85072,0.68136,0.96238,0.91359,0.96063,0.9688,0.71398,1.00288,0.86446,1.11159,0.000337209,0.000337209,0.000337209
27,1084.88,0.98564,0.83267,1.13305,0.91359,0.96063,0.9688,0.71398,1.00288,0.86446,1.11159,0.00034679,0.00034679,0.00034679
28,1123.85,0.94379,0.65308,0.97612,0.90776,0.94702,0.97892,0.70719,0.9953,0.88688,1.1709,0.000356097,0.000356097,0.000356097
29,1162.39,0.87636,0.62818,1.02818,0.90776,0.94702,0.97892,0.70719,0.9953,0.88688,1.1709,0.000365129,0.000365129,0.000365129
30,1201.13,0.87843,0.65407,1.03491,0.93839,0.96712,0.98308,0.71536,0.9598,0.79401,1.1572,0.000373886,0.000373886,0.000373886
31,1240,0.87959,0.66744,1.00847,0.93839,0.96712,0.98308,0.71536,0.9598,0.79401,1.1572,0.000382368,0.000382368,0.000382368
32,1278.63,0.81169,0.60847,0.97028,0.93839,0.96712,0.98308,0.71536,0.9598,0.79401,1.1572,0.000390575,0.000390575,0.000390575
33,1317.51,0.83096,0.66187,0.98143,0.89891,0.95473,0.98675,0.70681,1.01148,0.83084,1.16313,0.000398507,0.000398507,0.000398507
34,1355.66,0.89765,0.70309,1.00086,0.89891,0.95473,0.98675,0.70681,1.01148,0.83084,1.16313,0.000406165,0.000406165,0.000406165
35,1394.04,0.96042,0.73172,1.18705,0.89891,0.95473,0.98675,0.70681,1.01148,0.83084,1.16313,0.000413547,0.000413547,0.000413547
36,1432.68,0.90507,0.63603,1.01081,0.87105,0.96272,0.98429,0.69452,1.10419,0.80252,1.19822,0.000420655,0.000420655,0.000420655
37,1470.8,0.85875,0.57133,0.98015,0.87105,0.96272,0.98429,0.69452,1.10419,0.80252,1.19822,0.000427487,0.000427487,0.000427487
38,1509.14,0.8292,0.60341,0.93666,0.87105,0.96272,0.98429,0.69452,1.10419,0.80252,1.19822,0.000434045,0.000434045,0.000434045
39,1547.39,0.89993,0.65297,1.04092,0.93119,0.9325,0.98387,0.69007,1.12101,0.82004,1.24019,0.000440328,0.000440328,0.000440328
40,1585.73,0.84405,0.58975,0.96535,0.93119,0.9325,0.98387,0.69007,1.12101,0.82004,1.24019,0.000446336,0.000446336,0.000446336
41,1624.2,0.88399,0.63927,1.06436,0.93119,0.9325,0.98387,0.69007,1.12101,0.82004,1.24019,0.000452069,0.000452069,0.000452069
42,1662.83,0.89714,0.64373,1.03227,0.85622,0.96062,0.95635,0.69813,1.02195,0.87501,1.17503,0.000457527,0.000457527,0.000457527
43,1700.8,0.81716,0.55339,0.98259,0.85622,0.96062,0.95635,0.69813,1.02195,0.87501,1.17503,0.000462711,0.000462711,0.000462711
44,1738.84,0.85147,0.59836,1.01911,0.85622,0.96062,0.95635,0.69813,1.02195,0.87501,1.17503,0.000467619,0.000467619,0.000467619
45,1776.96,0.82953,0.56481,0.97976,0.85622,0.96062,0.95635,0.69813,1.02195,0.87501,1.17503,0.000472253,0.000472253,0.000472253
46,1815.34,0.76404,0.58466,0.94898,0.87729,0.98848,0.9794,0.69499,1.05021,0.73376,1.18208,0.000476611,0.000476611,0.000476611
47,1853.53,0.75769,0.58571,0.93572,0.87729,0.98848,0.9794,0.69499,1.05021,0.73376,1.18208,0.000480695,0.000480695,0.000480695
48,1892.01,0.79931,0.60646,0.96741,0.87729,0.98848,0.9794,0.69499,1.05021,0.73376,1.18208,0.000484504,0.000484504,0.000484504
49,1930.23,0.79075,0.5637,0.98583,0.87729,0.98848,0.9794,0.69499,1.05021,0.73376,1.18208,0.000488038,0.000488038,0.000488038
50,1968.65,0.81096,0.59999,0.99804,0.91632,1,0.98079,0.68362,1.08601,0.80137,1.15061,0.000491297,0.000491297,0.000491297
51,2006.81,0.80747,0.59535,0.95721,0.91632,1,0.98079,0.68362,1.08601,0.80137,1.15061,0.000489387,0.000489387,0.000489387
52,2044.99,0.83347,0.55297,0.93266,0.91632,1,0.98079,0.68362,1.08601,0.80137,1.15061,0.000482515,0.000482515,0.000482515
53,2083.23,0.73305,0.51361,0.94286,0.91632,1,0.98079,0.68362,1.08601,0.80137,1.15061,0.000475643,0.000475643,0.000475643
54,2121.72,0.77523,0.58498,0.98639,0.94292,0.99208,0.98788,0.70587,1.04212,0.71975,1.13146,0.000468771,0.000468771,0.000468771
55,2159.62,0.73867,0.48349,0.94555,0.94292,0.99208,0.98788,0.70587,1.04212,0.71975,1.13146,0.000461898,0.000461898,0.000461898
56,2197.71,0.76406,0.50849,0.97617,0.94292,0.99208,0.98788,0.70587,1.04212,0.71975,1.13146,0.000455026,0.000455026,0.000455026
57,2235.81,0.82542,0.52694,1.01781,0.94292,0.99208,0.98788,0.70587,1.04212,0.71975,1.13146,0.000448154,0.000448154,0.000448154
58,2274.11,0.86774,0.55637,1.02238,0.93147,0.98958,0.97063,0.69269,1.06426,0.65427,1.12839,0.000441282,0.000441282,0.000441282
59,2312.55,0.79753,0.52624,0.97068,0.93147,0.98958,0.97063,0.69269,1.06426,0.65427,1.12839,0.000434409,0.000434409,0.000434409
60,2350.79,0.77491,0.51868,0.94291,0.93147,0.98958,0.97063,0.69269,1.06426,0.65427,1.12839,0.000427537,0.000427537,0.000427537
61,2389.01,0.86957,0.55782,0.9981,0.93147,0.98958,0.97063,0.69269,1.06426,0.65427,1.12839,0.000420665,0.000420665,0.000420665
62,2427.31,0.82286,0.50737,0.96882,0.933,0.98958,0.96579,0.68779,1.06658,0.64824,1.1277,0.000413793,0.000413793,0.000413793
63,2465.48,0.84411,0.50525,1.03599,0.933,0.98958,0.96579,0.68779,1.06658,0.64824,1.1277,0.00040692,0.00040692,0.00040692
64,2504.1,0.74614,0.47291,0.95701,0.933,0.98958,0.96579,0.68779,1.06658,0.64824,1.1277,0.000400048,0.000400048,0.000400048
65,2542.29,0.74778,0.46978,0.91284,0.933,0.98958,0.96579,0.68779,1.06658,0.64824,1.1277,0.000393176,0.000393176,0.000393176
66,2580.68,0.82103,0.50524,0.95933,0.93796,0.99737,0.98313,0.70708,1.00846,0.6356,1.09118,0.000386304,0.000386304,0.000386304
67,2619.03,0.72742,0.45671,0.9248,0.93796,0.99737,0.98313,0.70708,1.00846,0.6356,1.09118,0.000379431,0.000379431,0.000379431
68,2657.48,0.73875,0.48077,0.95231,0.93796,0.99737,0.98313,0.70708,1.00846,0.6356,1.09118,0.000372559,0.000372559,0.000372559
69,2695.67,0.78777,0.49473,0.9594,0.93796,0.99737,0.98313,0.70708,1.00846,0.6356,1.09118,0.000365687,0.000365687,0.000365687
70,2733.66,0.74985,0.44292,0.94201,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000358815,0.000358815,0.000358815
71,2771.87,0.72223,0.45683,0.93469,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000351942,0.000351942,0.000351942
72,2811.21,0.69563,0.46296,0.93582,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.00034507,0.00034507,0.00034507
73,2850.48,0.71916,0.45141,0.98102,0.94455,0.99289,0.98635,0.72828,0.9913,0.6045,1.07422,0.000338198,0.000338198,0.000338198
74,2890.06,0.73378,0.46601,0.9761,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000331326,0.000331326,0.000331326
75,2929.16,0.77255,0.46417,0.98442,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000324453,0.000324453,0.000324453
76,2968.44,0.7752,0.47479,0.97667,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000317581,0.000317581,0.000317581
77,3007.6,0.74574,0.42736,0.9358,0.93419,0.99062,0.98385,0.71437,1.06762,0.57372,1.12475,0.000310709,0.000310709,0.000310709
78,3047.6,0.71258,0.45817,0.96347,0.93408,0.96016,0.98144,0.71001,1.04561,0.55603,1.11885,0.000303837,0.000303837,0.000303837
